Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
account-management,3238,0,0,0,16,18,19,33,0,36,89,0,24,0,28,13,44,0,123,1,38,4.78,0,0,0
teams-roi,3236,0,0,0,13,11,12,21,3,34,90,0,2,3,27,17,40,0,117,0,36,0.53,5,26,1
product-roadmap,3219,0,0,0,17,20,32,45,0,43,138,1,47,4,30,3,49,0,147,2,52,4.29,0,0,0
prizm,3211,0,0,0,14,16,16,25,1,70,172,0,36,6,48,10,72,0,160,0,47,13.57,1,0,0
bonfire,3189,0,0,0,15,17,19,25,0,43,132,0,30,2,30,13,55,0,204,0,63,1.62,0,0,0
product-announcement,3156,0,0,0,6,8,11,22,6,21,74,2,19,10,6,2,14,0,38,0,6,1.33,30,68,11
so-for-teams-basic,3145,0,0,0,18,22,24,41,7,56,79,0,28,2,49,12,66,0,166,0,42,0.67,8,12,0
login,3144,0,0,0,15,22,19,34,0,34,102,1,29,3,27,11,37,0,130,1,22,2.19,0,0,0
community-products,3077,0,0,0,6,9,6,19,11,11,24,0,2,0,11,6,13,0,22,0,13,8.75,43,69,10
teamcity,3064,0,0,0,11,16,16,25,1,42,110,0,34,3,33,12,49,0,145,0,74,1.24,1,10,0
events,3047,0,0,0,11,18,10,27,2,23,80,0,7,0,13,6,50,0,147,0,22,0.36,2,4,3
subject-matter-experts,3000,1,0,1,20,19,32,37,0,44,157,0,33,2,36,5,59,2,222,1,78,0.73,0,0,0
so-culture,2918,0,0,0,13,23,19,37,0,21,166,0,14,0,17,5,38,0,249,3,24,1.19,0,0,0
zcpq,2862,0,0,0,4,4,9,12,0,31,67,0,15,2,24,9,34,0,81,2,51,0.5,0,0,0
knowledge-reuse,2844,0,0,0,17,21,22,32,1,26,113,0,6,1,17,5,32,0,102,2,29,11.7,1,4,1
so-for-teams-enterprise-hosted,2825,0,0,0,20,17,17,30,2,38,73,0,13,1,35,16,45,0,113,0,31,0.49,2,2,3
community-building,2823,0,0,0,13,18,19,35,1,36,158,0,51,8,18,1,46,0,149,0,33,3.39,1,3,0
deleted-profiles,2821,0,0,0,14,21,23,34,0,30,83,1,28,2,23,4,36,0,101,0,35,3.98,0,0,0
meta,2808,0,0,0,8,13,14,19,1,28,98,0,39,0,21,12,55,0,221,2,74,2.77,1,3,0
job-listing,2757,0,0,0,13,12,12,19,2,65,112,1,31,9,43,8,60,0,133,0,45,1.54,4,5,0
authentication,2721,0,0,0,23,22,22,41,2,43,81,0,25,3,33,9,45,0,109,2,26,0.94,3,2,6
localization,2709,0,0,0,18,16,24,35,0,38,99,0,35,3,30,9,41,0,132,1,47,19.62,0,0,0
admin,2700,0,0,0,24,21,25,45,1,48,98,0,29,3,40,10,52,0,139,3,52,0.81,1,1,1
okta,2674,0,0,0,17,15,18,31,1,34,76,0,6,2,29,12,36,0,107,0,22,0.77,1,2,0
content-health,2669,6,0,6,17,18,20,32,2,35,122,0,21,3,26,2,36,13,119,1,40,1.06,4,27,9
reach-and-relevance,2598,0,0,0,13,12,13,24,3,27,42,0,1,0,21,14,34,0,58,0,28,1.87,8,7,1
customer-success-ads,2590,0,0,0,9,11,14,21,1,39,57,0,9,2,17,21,44,0,66,0,19,1.01,1,0,0
platform-engineering,2578,0,0,0,4,8,7,17,4,8,12,0,5,0,7,1,10,0,26,0,9,5.04,12,29,5
gdpr,2559,0,0,0,17,17,20,35,3,38,63,0,28,4,26,4,37,0,76,0,19,2.45,3,7,0
tagging-strategy,2555,0,0,0,20,23,23,39,5,34,105,0,22,1,28,3,40,0,144,1,57,2.26,5,33,6
faq,2544,0,0,0,2,3,2,8,4,2,6,0,0,0,2,1,3,0,8,0,2,3.19,12,48,29
teams-migration,2538,0,0,0,15,11,23,35,3,27,51,0,18,3,22,4,32,0,61,0,42,3.17,4,15,1
vivun,2515,0,0,0,9,13,7,15,2,27,65,0,10,1,26,9,32,0,71,0,14,3.75,3,11,0
teams-api-v3,2511,3,0,3,14,13,18,32,5,35,79,0,12,5,23,8,35,12,66,0,52,11.26,6,36,3
unified-search,2505,0,0,0,15,13,13,31,4,23,65,0,8,2,20,3,27,0,77,1,23,2.05,5,38,13
revops,2479,4,0,4,17,23,17,38,1,51,99,0,25,13,30,1,47,8,89,0,15,1.22,1,1,0
